pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,sy_dist,sy_disterr1,sy_disterr2
K2-42 b,K2-42,1,1,1,Transit,2016,K2,Published Confirmed,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,6.68796,0.00093,-0.00093,0.0,2.15,0.24,-0.24,0.0,,,,,,,,,,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4613.0,71.0,-71.0,0.0,0.64,0.04,-0.04,0.0,0.7,0.05,-0.05,0.0,,,,,,396.913,7.94,-7.64
Kepler-1200 b,Kepler-1200,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.11854972,3.12e-06,-3.12e-06,0.0,1.06,0.06,-0.08,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4612.0,101.02,-139.97,0.0,0.7,0.03,-0.04,0.0,0.74,0.04,-0.05,0.0,0.04,0.156,-0.196,0.0,[Fe/H],588.715,12.631,-12.119
Kepler-1246 b,Kepler-1246,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,11.32271513,8.852e-05,-8.852e-05,0.0,1.36,0.2,-0.22,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4611.0,49.69,-51.31,0.0,0.69,0.02,-0.04,0.0,0.73,0.03,-0.04,0.0,-0.03,0.158,-0.163,0.0,[Fe/H],436.505,7.167,-7.167
HD 190007 b,HD 190007,1,1,1,Radial Velocity,2020,Multiple Observatories,Published Confirmed,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>,11.72,0.001,-0.001,0.0,,,,,,,,,16.46,1.66,-1.66,0.0,0.14,0.07,-0.07,0.0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>,,4610.0,20.0,-20.0,0.0,0.79,0.04,-0.04,0.0,0.77,0.02,-0.02,0.0,0.16,0.05,-0.05,0.0,[Fe/H],12.7141,0.0101,-0.01
Kepler-114 b,Kepler-114,1,1,3,Transit,2014,Kepler,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.188549,1.2e-05,-1.2e-05,0.0,1.26,0.13,-0.13,0.0,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4605.0,100.0,-100.0,0.0,0.67,0.04,-0.04,0.0,,,,,,,,,,259.533,1.3085,-1.3085
K2-379 b,K2-379,1,1,1,Transit,2022,K2,Published Confirmed,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,8.777247,0.000625,-0.000611,0.0,2.181,0.363,-0.198,0.0,,,,,,,,,,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,,4603.0,138.0,-138.0,0.0,0.75,0.06,-0.05,0.0,0.86,0.38,-0.27,0.0,-0.045,0.235,-0.235,0.0,[Fe/H],182.207,1.355,-1.336
Kepler-1526 b,Kepler-1526,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.908632,7.4e-06,-7.4e-06,0.0,2.43,0.09,-0.39,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4601.0,88.57,-73.91,0.0,0.69,0.03,-0.03,0.0,0.73,0.03,-0.04,0.0,-0.01,0.136,-0.144,0.0,[Fe/H],555.574,10.398,-10.028
TOI-824 b,TOI-824,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..153B/abstract target=ref>Burt et al. 2020</a>,1.392978,1.8e-05,-1.7e-05,0.0,2.926,0.202,-0.191,0.0,18.467,1.843,-1.875,0.0,18.467,1.843,-1.875,0.0,,,,,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..153B/abstract target=ref>Burt et al. 2020</a>,K4 V,4600.0,110.0,-100.0,0.0,0.69,0.03,-0.03,0.0,0.71,0.03,-0.03,0.0,-0.092,0.076,-0.077,0.0,[Fe/H],63.9262,0.1435,-0.1428
NGTS-10 b,NGTS-10,1,1,1,Transit,2020,Paranal Observatory,Published Confirmed,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,0.7668944,3e-07,-3e-07,0.0,13.507,1.311,-0.93,0.0,687.14846,29.24036,-34.00781,0.0,687.14846,29.24036,-34.00781,0.0,0.0,,,0.0,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,K5 V,4600.0,150.0,-150.0,0.0,0.7,0.04,-0.04,0.0,0.7,0.04,-0.04,0.0,-0.02,0.12,-0.12,0.0,[M/H],,,
K2-347 b,K2-347,1,1,1,Transit,2016,K2,Published Confirmed,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,7.187257,2e-05,-2.1e-05,0.0,2.41,0.11,-0.1,0.0,,,,,,,,,,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,4599.0,178.0,-152.0,0.0,0.63,0.02,-0.02,0.0,0.66,0.03,-0.03,0.0,-0.26,0.17,-0.21,0.0,[Fe/H],320.336,3.955,-3.862
