pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,sy_dist,sy_disterr1,sy_disterr2
NSVS 14256825 b,NSVS 14256825,1,2,1,Eclipse Timing Variations,2019,Multiple Observatories,Published Confirmed,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,3225.0,22.0,-22.0,0.0,,,,,,,,,4497.2945,50.8528,-50.8528,0.0,0.12,0.02,-0.02,0.0,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,,40000.0,,,0.0,0.19,0.01,-0.01,0.0,0.42,0.07,-0.07,0.0,,,,,,820.877,41.457,-41.457
NY Vir c,NY Vir,1,2,2,Eclipse Timing Variations,2019,Winer Observatory,Published Confirmed,<a refstr=SONG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..184S/abstract target=ref>Song et al. 2019</a>,8799.0,240.0,-240.0,0.0,,,,,,,,,1760.7782,63.566,-63.566,0.0,0.15,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,32780.0,200.0,-200.0,0.0,0.15,0.0,0.0,0.0,0.46,0.01,-0.01,0.0,,,,,,544.024,18.8765,-18.8765
NY Vir b,NY Vir,1,2,2,Eclipse Timing Variations,2011,Multiple Observatories,Published Confirmed,<a refstr=SONG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..184S/abstract target=ref>Song et al. 2019</a>,3160.0,62.0,-62.0,0.0,,,,,,,,,845.4278,82.6358,-82.6358,0.0,0.15,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,32780.0,200.0,-200.0,0.0,0.15,0.0,0.0,0.0,0.46,0.01,-0.01,0.0,,,,,,544.024,18.8765,-18.8765
Kepler-451 d,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,Multiple Observatories,Published Confirmed,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,43.0,0.1,-0.1,0.0,,,,,,,,,559.378,57.20911,-57.20911,0.0,0.0,,,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.2,0.0,0.0,0.0,0.48,,,0.0,,,,,,396.332,6.3885,-6.3885
Kepler-451 c,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,Multiple Observatories,Published Confirmed,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,1460.0,90.0,-90.0,0.0,,,,,,,,,511.70374,44.49598,-44.49598,0.0,0.29,0.07,-0.07,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.2,0.0,0.0,0.0,0.48,,,0.0,,,,,,396.332,6.3885,-6.3885
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.0,4.0,-4.0,0.0,,,,,,,,,591.16084,15.89142,-15.89142,0.0,0.33,0.05,-0.05,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.2,0.0,0.0,0.0,0.48,,,0.0,,,,,,396.332,6.3885,-6.3885
V0391 Peg b,V0391 Peg,1,1,1,Pulsation Timing Variations,2007,Multiple Observatories,Published Confirmed,<a refstr=SILVOTTI_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007Natur.449..189S/abstract target=ref> Silvotti et al. 2007 </a>,1170.0,44.0,-44.0,0.0,,,,,,,,,1017.056,222.481,-222.481,0.0,0.0,,,0.0,<a refstr=SILVOTTI_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007Natur.449..189S/abstract target=ref> Silvotti et al. 2007 </a>,,29300.0,500.0,-500.0,0.0,0.23,0.03,-0.03,0.0,0.5,0.05,-0.05,0.0,,,,,,1195.98,78.465,-78.465
KOI-55 c,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.342887,1.3e-05,-1.3e-05,0.0,0.867,,,0.0,0.655,,,0.0,0.655,,,0.0,,,,,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,270.0,-270.0,0.0,0.2,0.01,-0.01,0.0,0.5,0.0,0.0,0.0,,,,,,1231.02,48.015,-48.015
KOI-55 b,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.240104,4e-06,-4e-06,0.0,0.759,,,0.0,0.44,,,0.0,0.44,,,0.0,,,,,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,270.0,-270.0,0.0,0.2,0.01,-0.01,0.0,0.5,0.0,0.0,0.0,,,,,,1231.02,48.015,-48.015
KIC 10001893 d,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.81161,,,0.0,,,,,,,,,,,,,,,,,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.0,200.0,-500.0,0.0,,,,,,,,,,,,,,1672.94,149.7,-149.7
KIC 10001893 c,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.32528,,,0.0,,,,,,,,,,,,,,,,,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.0,200.0,-500.0,0.0,,,,,,,,,,,,,,1672.94,149.7,-149.7
KIC 10001893 b,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.2197,,,0.0,,,,,,,,,,,,,,,,,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.0,200.0,-500.0,0.0,,,,,,,,,,,,,,1672.94,149.7,-149.7
mu2 Sco b,mu2 Sco,1,1,1,Imaging,2022,Paranal Observatory,Published Confirmed,<a refstr=SQUICCIARINI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220502279S/abstract target=ref>Squicciarini et al. 2022</a>,,,,,,,,,4576.72906,254.26273,-254.26273,0.0,4576.72906,254.26273,-254.26273,0.0,0.56,0.27,-0.26,0.0,<a refstr=SQUICCIARINI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220502279S/abstract target=ref>Squicciarini et al. 2022</a>,B2 IV,21700.0,900.0,-900.0,0.0,5.6,0.2,-0.2,0.0,9.1,0.3,-0.3,0.0,,,,,,,,
kap And b,kap And,1,1,1,Imaging,2012,Subaru Telescope,Published Confirmed,<a refstr=BONNEFOY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.111B/abstract target=ref> Bonnefoy et al. 2014 </a>,,,,,,,,,4327.36,7323.224,-332.874,0.0,4327.36,7323.224,-332.874,0.0,,,,,<a refstr=BONNEFOY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.111B/abstract target=ref> Bonnefoy et al. 2014 </a>,B9 IV,10900.0,300.0,-300.0,0.0,,,,,2.6,0.2,-0.2,0.0,-0.36,0.09,-0.09,0.0,[M/H],50.0177,0.8766,-0.8474
HIP 78530 b,HIP 78530,1,1,1,Imaging,2010,Gemini Observatory,Published Confirmed,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,,,,,7300.0,300.0,-300.0,0.0,7300.0,300.0,-300.0,0.0,,,,,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,B9 V,10500.0,,,0.0,,,,,2.5,,,0.0,,,,,,136.759,1.493,-1.462
HD 100546 b,HD 100546,1,1,1,Imaging,2014,Paranal Observatory,Published Confirmed,<a refstr=QUANZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,,,,,77.342,30.264,-32.506,0.0,,,,,,,,,,,,,<a refstr=QUANZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,B9 Vne,10500.0,,,0.0,,,,,2.4,0.1,-0.1,0.0,,,,,,109.677,0.621,-0.613
KELT-9 b,KELT-9,1,2,1,Transit,2017,KELT-North,Published Confirmed,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,1.4811235,1.1e-06,-1.1e-06,0.0,21.196,0.684,-0.594,0.0,915.3504,266.9772,-266.9772,0.0,915.3504,266.9772,-266.9772,0.0,0.0,,,0.0,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,B9.5-A0,10170.0,450.0,-450.0,0.0,2.36,0.07,-0.06,0.0,2.52,0.25,-0.2,0.0,-0.03,0.2,-0.2,0.0,[Fe/H],204.455,1.582,-1.558
HD 97048 b,HD 97048,1,1,1,Disk Kinematics,2019,Atacama Large Millimeter Array (ALMA),Published Confirmed,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,,,,,,,,,794.575,158.915,-158.915,0.0,794.575,158.915,-158.915,0.0,,,,,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,Be9.5/AO,10000.0,,,0.0,2.25,,,0.0,2.4,,,0.0,,,,,,183.857,1.331,-1.313
AB Aur b,AB Aur,1,1,1,Imaging,2022,Subaru Telescope,Published Confirmed,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,,,,,,,,2860.45566,,,0.0,2860.45566,,,0.0,0.4,0.2,-0.21,0.0,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,9770.0,100.0,-100.0,0.0,,,,,2.4,0.2,-0.2,0.0,,,,,,162.127,1.526,-1.498
WASP-178 b,WASP-178,1,1,1,Transit,2019,WASP-South,Published Confirmed,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,3.3448285,1.2e-06,-1.2e-06,0.0,20.288,1.009,-1.009,0.0,527.5978,38.1396,-38.1396,0.0,527.5978,38.1396,-38.1396,0.0,0.0,,,0.0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,A1 IV-V,9360.0,150.0,-150.0,0.0,1.67,0.07,-0.07,0.0,2.07,0.11,-0.11,0.0,0.21,0.16,-0.16,0.0,[Fe/H],427.678,11.35,-10.786
HIP 65426 b,HIP 65426,1,1,1,Imaging,2017,Paranal Observatory,Published Confirmed,<a refstr=CHAUVIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,,,,,16.814,1.121,-1.121,0.0,2860.47,953.49,-953.49,0.0,2860.47,953.49,-953.49,0.0,,,,,<a refstr=CHAUVIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,A2 V,8840.0,200.0,-200.0,0.0,1.77,0.05,-0.05,0.0,1.96,0.04,-0.04,0.0,,,,,,108.875,0.753,-0.742
KELT-20 b,KELT-20,1,1,1,Transit,2017,KELT-North,Published Confirmed,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,3.4741085,1.9e-06,-1.9e-06,0.0,19.515,0.773,-0.829,0.0,1074.90106,,,1.0,1074.90106,,,1.0,,,,,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,A2 V,8720.0,250.0,-260.0,0.0,1.56,0.06,-0.06,0.0,1.76,0.14,-0.19,0.0,-0.29,0.22,-0.36,0.0,[Fe/H],136.426,0.816,-0.807
HD 56414 b,HD 56414,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...935L..10G/abstract target=ref>Giacalone et al. 2022</a>,29.04992,0.00021,-0.00021,0.0,3.71,0.2,-0.2,0.0,,,,,,,,,0.68,,,1.0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...935L..10G/abstract target=ref>Giacalone et al. 2022</a>,,8500.0,150.0,-150.0,0.0,1.75,0.07,-0.07,0.0,1.89,0.11,-0.11,0.0,0.0,0.3,0.0,0.0,[Fe/H],272.217,2.207,-2.173
Kepler-1115 b,Kepler-1115,1,1,1,Transit,2016,Kepler,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,23.5540725,0.0001356,-0.0001356,0.0,1.7,0.29,-0.2,0.0,,,,,,,,,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,8480.0,295.98,-217.88,0.0,1.73,0.29,-0.2,0.0,1.6,0.1,-0.1,0.0,-0.51,0.106,-0.121,0.0,[Fe/H],983.245,26.145,-24.852
HAT-P-70 b,HAT-P-70,1,1,1,Transit,2019,HATNet,Published Confirmed,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,2.74432452,7.9e-07,-6.8e-07,0.0,20.961,1.681,-1.121,0.0,2154.8874,,,0.0,2154.8874,,,0.0,0.0,,,0.0,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,,8450.0,540.0,-690.0,0.0,1.86,0.12,-0.09,0.0,1.89,0.01,-0.01,0.0,-0.059,0.075,-0.088,0.0,[Fe/H],330.739,6.818,-6.552
WASP-189 b,WASP-189,1,1,1,Transit,2020,CHaracterising ExOPlanets Satellite (CHEOPS),Published Confirmed,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,2.724033,,,0.0,18.147,0.235,-0.235,0.0,632.47853,50.85255,-44.49598,0.0,632.47853,50.85255,-44.49598,0.0,0.0,,,0.0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,,8000.0,80.0,-80.0,0.0,2.36,0.03,-0.03,0.0,2.03,0.07,-0.07,0.0,0.29,0.13,-0.13,0.0,[Fe/H],99.731,0.754,-0.7432
HIP 99770 b,HIP 99770,1,1,1,Imaging,2023,Multiple Observatories,Published Confirmed,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221200034C/abstract target=ref>Currie et al. 2022</a>,18600.0,6200.0,-2800.0,0.0,,,,,5117.03735,1716.2734,-1589.14204,0.0,5117.03735,1716.2734,-1589.14204,0.0,0.25,0.14,-0.16,0.0,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221200034C/abstract target=ref>Currie et al. 2022</a>,A5-A6,8000.0,,,0.0,,,,,1.85,0.19,-0.19,0.0,,,,,,40.0765,0.2847,-0.2807
HATS-70 b,HATS-70,1,1,1,Transit,2019,HATSouth,Published Confirmed,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,1.8882378,1.5e-06,-1.5e-06,0.0,15.513,0.886,-0.829,0.0,4100.007,572.094,-508.528,0.0,4100.007,572.094,-508.528,0.0,0.18,,,1.0,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,,7930.0,630.0,-820.0,0.0,1.88,0.06,-0.07,0.0,1.78,0.12,-0.12,0.0,0.041,0.095,-0.107,0.0,[Fe/H],1458.83,68.6,-62.81
MASCARA-4 b,MASCARA-4,1,2,1,Transit,2020,Multiple Observatories,Published Confirmed,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,2.82406,3e-05,-3e-05,0.0,17.15,0.785,-0.448,0.0,985.273,286.047,-286.047,0.0,985.273,286.047,-286.047,0.0,0.0,,,0.0,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,A7 V,7800.0,200.0,-200.0,0.0,1.92,0.11,-0.11,0.0,1.75,0.05,-0.05,0.0,0.0,,,0.0,[Fe/H],170.696,0.938,-0.928
TOI-1431 b,TOI-1431,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,2.650237,3e-06,-3e-06,0.0,16.701,0.56,-0.56,0.0,991.62463,57.20911,-57.20911,0.0,991.62463,57.20911,-57.20911,0.0,0.0022,0.003,-0.0016,0.0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,Am C,7690.0,400.0,-250.0,0.0,1.92,0.07,-0.07,0.0,1.9,0.1,-0.08,0.0,0.09,0.03,-0.03,0.0,[Fe/H],148.925,1.034,-1.02
KOI-13 b,KOI-13,1,3,1,Transit,2011,Kepler,Published Confirmed,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,1.763588,1e-06,-1e-06,0.0,16.948,0.392,-0.392,0.0,2949.4624,50.8528,-50.8528,0.0,2949.4624,50.8528,-50.8528,0.0,0.00064,0.00012,-0.00016,0.0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,7650.0,250.0,-250.0,0.0,1.74,0.04,-0.04,0.0,1.72,0.1,-0.1,0.0,0.2,0.2,-0.2,0.0,[Fe/H],519.096,30.703,-27.506
KELT-21 b,KELT-21,1,1,1,Transit,2018,KELT-North,Published Confirmed,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,3.6127647,3.3e-06,-3.3e-06,0.0,17.777,0.437,-0.448,0.0,1242.7153,,,1.0,1242.7153,,,1.0,0.0,,,0.0,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,A8 V,7598.0,81.0,-84.0,0.0,1.64,0.03,-0.03,0.0,1.46,0.03,-0.03,0.0,-0.405,0.032,-0.033,0.0,[Fe/H],470.878,6.471,-6.3
Kepler-462 c,Kepler-462,1,1,2,Transit,2020,Kepler,Published Confirmed,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,207.62,0.03,-0.01,0.0,4.0,0.2,-0.2,0.0,6.0,10.8,-4.9,0.0,6.0,10.8,-4.9,0.0,0.11,0.05,-0.02,0.0,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,,7500.0,300.0,-300.0,0.0,1.57,0.08,-0.06,0.0,1.59,0.08,-0.08,0.0,0.05,0.11,-0.11,0.0,[Fe/H],596.625,10.858,-10.484
Kepler-462 b,Kepler-462,1,1,2,Transit,2016,Kepler,Published Confirmed,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,84.6866,0.0007,-0.001,0.0,3.0,0.2,-0.1,0.0,53.9,104.6,-23.8,0.0,53.9,104.6,-23.8,0.0,0.042,0.046,-0.008,0.0,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,,7500.0,300.0,-300.0,0.0,1.57,0.08,-0.06,0.0,1.59,0.08,-0.08,0.0,0.05,0.11,-0.11,0.0,[Fe/H],596.625,10.858,-10.484
KELT-19 A b,KELT-19 A,1,2,1,Transit,2017,KELT,Published Confirmed,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,4.6117093,8.8e-06,-8.8e-06,0.0,21.409,1.233,-1.233,0.0,1293.5681,,,1.0,1293.5681,,,1.0,,,,,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,A8 V,7500.0,110.0,-110.0,0.0,1.83,0.1,-0.1,0.0,1.62,0.25,-0.2,0.0,-0.12,0.51,-0.51,0.0,[Fe/H],300.276,4.684,-4.544
MASCARA-1 b,MASCARA-1,1,1,1,Transit,2017,Multiple Observatories,Published Confirmed,<a refstr=HOOTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..75H/abstract target=ref>Hooton et al. 2022</a>,2.14877381,8.8e-07,-8.7e-07,0.0,17.901,0.202,-0.213,0.0,,,,,,,,,0.00034,0.00034,-0.00023,0.0,<a refstr=HOOTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..75H/abstract target=ref>Hooton et al. 2022</a>,,7490.0,150.0,-150.0,0.0,2.08,0.02,-0.02,0.0,1.9,0.06,-0.07,0.0,0.15,0.15,-0.15,0.0,[Fe/H],182.273,1.963,-1.922
KELT-17 b,KELT-17,1,1,1,Transit,2016,KELT,Published Confirmed,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,3.0801716,5.3e-06,-5.2e-06,0.0,17.094,0.729,-0.673,0.0,416.3573,88.9924,-92.1707,0.0,416.3573,88.9924,-92.1707,0.0,,,,,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,A,7454.0,49.0,-49.0,0.0,1.65,0.06,-0.06,0.0,1.64,0.07,-0.06,0.0,-0.018,0.074,-0.072,0.0,[Fe/H],226.5,2.506,-2.453
WASP-33 b,WASP-33,1,2,1,Transit,2010,SuperWASP,Published Confirmed,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,1.21987,1e-06,-1e-06,0.0,17.856,0.829,-0.829,0.0,665.21819,44.17837,-44.17837,0.0,665.21819,44.17837,-44.17837,0.0,,,,,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,7430.0,100.0,-100.0,0.0,1.44,0.03,-0.03,0.0,1.5,0.03,-0.03,0.0,,,,,,121.944,0.998,-0.983
HR 8799 e,HR 8799,1,1,4,Imaging,2010,W. M. Keck Observatory,Published Confirmed,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,,,,,13.115,1.457,-1.233,0.0,3178.3,2224.81,-1271.32,0.0,3178.3,2224.81,-1271.32,0.0,0.15,0.08,-0.08,0.0,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,A5,7400.0,,,0.0,,,,,,,,,-0.5,,,0.0,[Fe/H],41.2441,0.1515,-0.1505
