JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457700.450648,18.829,0.011,,V,LCLA,,ENSEMBLE,143,,USED COMPARSTARS = 4,0,1.072,Z,,14.246,,M31_V1,AAVSO,STD,1,,,
2457707.663438,18.927,0.135,,V,GFB,,ENSEMBLE,000-BJV-796,13627KVO,,0,1.055,Z,,15.975,,M31_V1,CBA,STD,1,,,
2457726.453553,18.884,0.008,,V,LCLA,,ENSEMBLE,157,,USED COMPARSTARS = 3,0,1.278,Z,,15.681,,M31_V1,AAVSO,STD,2,,,
2457728.323229,18.727,0.014,,V,LCLA,,ENSEMBLE,159,,USED COMPARSTARS = 4,0,1.014,Z,,15.887,,M31_V1,AAVSO,STD,3,,,
2457733.385278,19.280,0.005,,V,LCLA,,ENSEMBLE,157,,USED COMPARSTARS = 4,0,1.122,Z,,15.689,,M31_V1,AAVSO,STD,4,,,
2457752.328924,18.682,0.005,,V,LCLA,,ENSEMBLE,143,,USED COMPARSTARS = 4,0,1.111,Z,,14.275,,M31_V1,AAVSO,STD,5,,,
2457773.310995,19.230,0.010,,V,LCLA,,ENSEMBLE,157,,USED COMPARSTARS = 4,0,1.226,Z,,15.671,,M31_V1,AAVSO,STD,6,,,
2457775.304329,19.297,0.009,,V,LCLA,,ENSEMBLE,147,,USED COMPARSTARS = 4,0,1.222,Z,,14.711,,M31_V1,AAVSO,STD,7,,,
2457964.77,19.362,0.082,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.350,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457964.77,18.907,0.085,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.350,Z,0.0,0.0,,M31_V1,,STD,0,,,
2457964.77,19.338,0.088,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.350,Z,0.0,0.0,,M31_V1,,STD,0,,,
